Key,"en",de
neverMissA,Never Miss a,Never Miss a
deal, Deal, Deal
again, Again, Again
createCustomAlerts,Create custom alerts and filters for eBay and other marketplaces. Buy items below market value,Create custom alerts and filters for eBay and other marketplaces. Buy items below market value
newAlert,New Alert Match!,New Alert Match!
vintageCameraLens,Vintage Camera Lens,Vintage Camera Lens
listed3MinutesAgo,Listed 3 minutes ago,Listed 3 minutes ago
mechanicalKeyboard,Mechanical Keyboard,,Mechanical Keyboard
listed17MinutesAgo,Listed 17 minutes ago
market150,Market 150+
market120,Market 120+
dealHunters, Deal Hunters
realTimeAlerts,Real-time Alerts
powerfulTools,Powerful Tools for
instantNotifications,Get instant notifications when items matching your criteria are listed. Be the first to snag that deal.
complexFilters,"Create complex filters with multiple conditions. Filter by price, condition, seller rating, and more."
viewHistoricalData,See historical price data and trends to identify the best buying and selling opportunities.
advanvedFilters,Advanced Filters,,Advanced Filters
marketAnalyist,Market Analysis,Market Analysis
how,How,How
works,Works,,Works,
createYourFilter,Create Your Filters,Create Your Filters
customFilter,"Set up custom filters for the items you're looking for. Specify price ranges, keywords, and conditions.","Set up custom filters for the items you're looking for. Specify price ranges, keywords, and conditions."
getNotified,Get Notified,Get Notified
receiveInstantAlerts, "Receive instant alerts when matching items are listed. Choose from email, discord, or push notifications.", "Receive instant alerts when matching items are listed. Choose from email, discord, or push notifications."
buyAndSave, Buy & Save, Buy & Save
beTheFirst, Be the first to purchase underpriced items and save money on things you want, Be the first to purchase underpriced items and save money on things you want
whatOur,What Our,What Our
usersSay,Users Say,Users Say
vintageCollector,Vintage Collector,Vintage Collector
vintageCollectorDecription,"NimDing has completely changed how I source vintage items. I've found rare pieces at 60% below market value because I was notified the moment they were listed.","NimDing has completely changed how I source vintage items. I've found rare pieces at 60% below market value because I was notified the moment they were listed."
reseller, Reseller, Reseller
resellerDesciption,"I've saved $3,000 in just three months using NimDing. The advanced filters let me zero in on exactly what I'm looking for, and the real-time alerts give me the edge over other buyers.", ","I've saved $3,000 in just three months using NimDing. The advanced filters let me zero in on exactly what I'm looking for, and the real-time alerts give me the edge over other buyers.", "
simpleTransparent,"Simple, Transparent,","Simple, Transparent "
pricing,Pricing,Pricing
free,Free,Free
month,/month,/month
3activeFilters,3 active filters,,3 active filters,
pushNotifications,"Email, Discord & push notifications","Email, Discord & push notifications"
30MinuteDelay,30 minute delay,30 minute delay
getStarted,Get Started,Get Started
mostPopular,Most Popular,Most Popular
20ActiveFilters,20 active filters,20 active filters
10MinuteDelay,Within 10 minute delay,Within 10 minute delay
500activeFilters,500 active filters,500 active filters
flippers,Flipper,Flipper
2MinuteDelay,1-2 minute delay,1-2 minute delay
priceCalculation,Price calculation,Price calculation
comingSoon,Coming soon,Coming soon
forBestOfBestFlippers,For the best of the best flippers,For the best of the best flippers
buyThingsCheaper,Great for buy the items you want for cheaper,Great for buy the items you want for cheaper price
greatTryingAne,Great for trying out ANE,Great for trying out ANE
startFindingDeals,Ready to Start Finding Deals?,Ready to Start Finding Deals?
joinThousandsSmartShoppers,Join thousands of smart shoppers and resellers who are saving money and making profits with DealAlert.,Join thousands of smart shoppers and resellers who are saving money and making profits with DealAlert.
joinFreeToday,No credit card or email required. Start with our free plan today.,No credit card or email required. Start with our free plan today.
smartWayToFindDeals,The smart way to find deals and make profits on online marketplaces.,The smart way to find deals and make profits on online marketplaces.
pro,Pro,Pro
privacy,Privacy,Privacy
terms,Terms,Terms
rights,© 2025 Coflnet GMH. All rights reserved.,© 2025 Coflnet GMH. All rights reserved.
dashboard,Dashboard,Dashboard
monitorAuctionAndFilters,Monitor your auction filters and notifications,,Monitor your auction filters and notifications
activeFilters,Active Filters,Active Filters
totalMatchedAuctions,Total Matched Auctions,Total Matched Auctions
auctionsPerHour,Auctions per hour,Auctions per hour
notificationsChannels,Notification Channels,Notification Channels
connect2Channels,Connected to 2 channels,Connected to 2 channels
email,Email,Email
browserNotifications,Browser notifications push notifications,Browser notifications push notifications
setup,Setup Required,Setup Required
signintoAccount,Sign in to your account,Sign in to your account
continueWithGoogle,Continue with Google,Continue with Google
tos,Terms of Service,Terms of Service
privacyPolicy,Privacy Policy,Privacy Policy
signInAgree,"By signing in, you agree to our ","By signing in, you agree to our "
and,and,and
dontHaveAccount,Don't have an account? ,Don't have an account? 
signUp,Sign up,Sign up
alreadyHaveAccount,Already have an account? ,Already have an account? 
signIn,Sign in,Sign in
filters,Filters,Filters
manageFilters,Manage your auction search filters,Manage your auction search filters
yourFilters,Your Filters,Your Filters
backToFilters,Back to filters,Back to filters
createFilter,Create Filter,Create Filter
editFilter,Edit Filter,Edit Filter
setUpNewAuctionFilter,Set up a new auction search filter,Set up a new auction search filter
updateExistingFilter,Update your existing filter,Update your existing filter
nameEg,"e.g., Photography Equipment","e.g., Photography Equipment"
filterName,Filter Name,Filter Name
marketplace,Marketplace,Marketplace
searchValue,search-value,search-value
cameraEg,"e.g., Camera","e.g., Camera"
searchValue,Search Value,Search Value
keywords,KeyWords,KeyWords
addKeyDescription,Add keywords that describe what you're looking for,Add keywords that describe what you're looking for
add,Add,Add
blackKeywords,Blacklist Keywords,Blacklist Keywords
tobla, to blacklist?, to blacklist?
cancel,Cancel,Cancel
addblacklistKeywords,Add keywords to exclude from search results,Add keywords to exclude from search results
priceRange,Price Range,Price Range
totalCost,Total Cost,Total Cost
delete,Delete,Delete
areYouSureDeletion,Are you sure you want to delete this item? This action cannot be undone.,Are you sure you want to delete this item? This action cannot be undone.
confirmDeletion,Confirm Deletion,Confirm Deletion
searchRadiusAroundYou,Search radius around you in KM (requires zip code),Search radius around you in KM (requires zip code)
searchRadius,Search Radius,Search Radius
zipCode,Zip-code,Zip-code
yourZip,Your Zip Code,Your Zip Code
notificationsChannels,Notification Channels,Notification Channels
none,None,None
dontSendNotifications,Don't send any notifications,Don't send any notifications
sendNotificationsToEmail,Send notifications to your email address,Send notifications to your email address
enterEmailAddress,Enter your email address,Enter your email address
sendDiscordNotifications,Send notifications to your Discord channel,Send notifications to your Discord channel
discordWebHookUrl,Enter Discord webhook URL,Enter Discord webhook URL
webPush,Web Push,Web Push
matchedAuctions,Matched Auctions,Matched Auctions
auctionMatchedToFilters,Auctions that mached your filters,Auctions that mached your filters
noAuctions,No Auctions found,No Auctions found
tryAdjustedFilters,Try adjusting your filter settings,Try adjusting your filter settings
allMarket,All Marketplaces,All Marketplaces
invalidDiscordWebhook,Please enter a valid Discord webhook URL,Please enter a valid Discord webhook URL
invalidEmail,Please enter a valid email address,Please enter a valid email address
searchRadiusRequiresEbay,Search radius does not work with Ebay,Search radius does not work with Ebay
zipCodePlease,Please enter a zip code when using search radius,Please enter a zip code when using search radius
loadMoreAuctions,Loading more auctions,Loading more auctions
register,Register,Register
createAccount,Create your account,Create your account
matchFilter,Matched Filter:,Matched Filter:
noImageForAuction,This Auction has no image,This Auction has no image
appHeaderHome,Home,Home
appHeaderFilters,Filters,Filters
appHeaderAuctions,Auctions,Auctions
signOut,Sign out,Sign out
features,Features,Features
pricing,Pricing,Pricing
support,Support,Support
forgotPassword,Forgot Password?,Forgot Password?
password,Password,Password
howItWorks,How it works,,How it works
sendEmail,Send Email,Send Email
auction,Auction,Auction
filter,Filter,Filter
price,Price,Price
matched,Matched,Matched
actions,Actions,Actions
justNow,Just now,Just now
active,Active,Active
matches,Matches,Matches
addKeywordPressEnter,Add keyword and press Enter,Add keyword and press Enter
addBlackListPressEnter,Add blacklist and press Enter,Add blacklist and press Enter
zipCodeEq,"e.g., xxxxx","e.g., xxxxx"
radiusEq,"e.g., 10","e.g., 10"
updateFilter,Update Filter,Update Filter
searchKeywords,Search Keywords,Search Keywords
topF,Top Filters,Top Filters
dollarSign,$
resources,Resources,Resources
documentation,Documentation,Documentation
apiRef,API Reference,API Reference
advancedNotification,Advanced Notification Engine for auction marketplaces,Advanced Notification Engine for auction marketplaces
view,View,View 
login,Login,Login
thatEmnailInUse,That email is already in use. either use a different email or login instead of registering
subscriptions,Subscriptions
cancelSubscriptionSuc,Canceling subscription was successful,Canceling subscription was successful
planUpdated,Plan updated successfully,Plan updated successfully
confirmCancelSub,Are you sure you want to cancel your subscription?,Are you sure you want to cancel your subscription?
confirmCancel,Confirm Cancel,Confirm Cancel
current,Current,Current
currentPlan,Current Plan,Current Plan
selectPlan,Select Plan,Select Plan
upgrade,Upgrade,Upgrade
downgrade,DownGrade,DownGrade
